Date,AwayTeam,AwayScore,HomeTeam,HomeScore,IsNeutralSite
2018-Jul-1 4:40 PM,Brisbane Lions,119,Fremantle,64,FALSE
2018-Jul-5 7:20 PM,Geelong,71,Sydney,59,FALSE
2018-Jul-6 7:50 PM,Adelaide,56,Richmond,103,FALSE
2018-Jul-7 1:45 PM,Carlton,55,Brisbane Lions,120,FALSE
2018-Jul-7 4:35 PM,St Kilda,50,Port Adelaide,86,FALSE
2018-Jul-7 7:25 PM,Hawthorn,122,Western Bulldogs,59,FALSE
2018-Jul-7 7:40 PM,Fremantle,48,Melbourne,102,FALSE
2018-Jul-8 1:10 PM,Gold Coast,58,North Melbourne,95,FALSE
2018-Jul-8 3:20 PM,Collingwood,78,Essendon,62,FALSE
2018-Jul-8 4:40 PM,GWS Giants,75,West Coast,86,FALSE
2018-Jul-12 7:50 PM,Geelong,97,Adelaide,112,FALSE
2018-Jul-13 7:50 PM,Carlton,52,St Kilda,116,FALSE
2018-Jul-14 1:45 PM,Brisbane Lions,98,Hawthorn,65,FALSE
2018-Jul-14 4:35 PM,Western Bulldogs,69,Melbourne,119,FALSE
2018-Jul-14 7:25 PM,Essendon,95,Gold Coast,51,FALSE
2018-Jul-14 7:25 PM,Richmond,77,GWS Giants,79,FALSE
2018-Jul-15 1:10 PM,West Coast,102,Collingwood,67,FALSE
2018-Jul-15 3:20 PM,Sydney,104,North Melbourne,98,FALSE
2018-Jul-15 4:40 PM,Port Adelaide,50,Fremantle,59,FALSE
2018-Jul-20 7:50 PM,Richmond,111,St Kilda,57,FALSE
2018-Jul-21 1:45 PM,North Melbourne,64,Collingwood,130,FALSE
2018-Jul-21 2:10 PM,Gold Coast,88,Sydney,64,FALSE
2018-Jul-21 4:35 PM,Fremantle,70,Essendon,99,FALSE
2018-Jul-21 7:25 PM,Adelaide,93,Brisbane Lions,88,FALSE
2018-Jul-21 7:25 PM,Melbourne,98,Geelong,100,FALSE
2018-Jul-22 1:10 PM,Hawthorn,124,Carlton,52,FALSE
2018-Jul-22 3:20 PM,Western Bulldogs,46,West Coast,100,FALSE
2018-Jul-22 4:40 PM,GWS Giants,80,Port Adelaide,58,FALSE
2018-Jul-27 7:50 PM,Sydney,66,Essendon,109,FALSE
2018-Jul-28 1:45 PM,Collingwood,77,Richmond,105,FALSE
2018-Jul-28 2:10 PM,Brisbane Lions,78,Geelong,120,FALSE
2018-Jul-28 4:35 PM,St Kilda,61,GWS Giants,86,FALSE
2018-Jul-28 7:25 PM,Carlton,79,Gold Coast,44,FALSE
2018-Jul-28 7:40 PM,Melbourne,90,Adelaide,77,FALSE
2018-Jul-29 1:10 PM,West Coast,41,North Melbourne,81,FALSE
2018-Jul-29 3:20 PM,Port Adelaide,78,Western Bulldogs,34,FALSE
2018-Jul-29 4:40 PM,Hawthorn,112,Fremantle,53,FALSE
2018-Aug-3 7:50 PM,Geelong,82,Richmond,85,FALSE
2018-Aug-4 1:45 PM,Essendon,103,Hawthorn,107,FALSE
2018-Aug-4 2:10 PM,North Melbourne,107,Brisbane Lions,104,FALSE
2018-Aug-4 4:35 PM,Port Adelaide,93,Adelaide,96,FALSE
